sport,game_id,a_team,h_team,last_mod_score,quarter,secs,a_pts,h_pts,status,a_win,h_win,last_mod_to_start,last_mod_lines,num_markets,a_odds_ml,h_odds_ml,a_deci_ml,h_deci_ml,a_odds_ps,h_odds_ps,a_deci_ps,h_deci_ps,a_hcap_ps,h_hcap_ps,a_odds_tot,h_odds_tot,a_deci_tot,h_deci_tot,a_hcap_tot,h_hcap_tot,game_start_time
BASK,3875328,Atlanta Hawks , Washington Wizards,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60501789,1549264298211,60,200,-240,3,1.416667,-105,-115,1.952381,1.87,6,-6,-115,-105,1.87,1.952381,232,232,1549324800000
BASK,3875352,Indiana Pacers , New Orleans Pelicans,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-64060411,1549264339589,40,-115,-105,1.87,1.952381,-110,-110,1.909091,1.909091,-1,1,-105,-115,1.952381,1.87,218,218,1549328400000
BASK,3875352,Indiana Pacers , New Orleans Pelicans,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-64010370,1549264389630,43,-115,-105,1.87,1.952381,-110,-110,1.909091,1.909091,-1,1,-105,-115,1.952381,1.87,218,218,1549328400000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60392146,1549264407854,60,-200,170,1.5,2.7,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-71151653,1549264448347,58,-130,110,1.77,2.1,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-67551647,1549264448353,60,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875352,Indiana Pacers , New Orleans Pelicans,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-63951650,1549264448350,43,-115,-105,1.87,1.952381,-110,-110,1.909091,1.909091,-1,1,-105,-115,1.952381,1.87,218,218,1549328400000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-71115897,1549264484103,58,-130,110,1.77,2.1,-115,-105,1.87,1.952381,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-67539079,1549264460921,60,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60042725,1549264757275,60,-200,170,1.5,2.7,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-59972636,1549264827364,60,-200,170,1.5,2.7,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-66519313,1549265480687,60,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-66493056,1549265506944,60,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-66128101,1549265871899,60,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-66118196,1549265881804,60,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875328,Atlanta Hawks , Washington Wizards,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-58902204,1549265897796,60,200,-240,3,1.416667,-105,-115,1.952381,1.87,6,-6,-115,-105,1.87,1.952381,232,232,1549324800000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-58872876,1549265927124,60,-200,170,1.5,2.7,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-58809392,1549265990608,60,-200,170,1.5,2.7,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-58778597,1549266021403,60,-200,170,1.5,2.7,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-58760959,1549266039041,60,-200,170,1.5,2.7,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-65902052,1549266097948,60,-420,310,1.238,4.1,-115,-105,1.87,1.952381,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-65876744,1549266123256,60,-420,310,1.238,4.1,-115,-105,1.87,1.952381,-8.5,8.5,-115,-105,1.87,1.952381,230,230,1549332000000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-58416997,1549266383003,60,-200,170,1.5,2.7,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60135234,1549266464766,62,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-69032855,1549266567145,58,-130,110,1.77,2.1,-115,-105,1.87,1.952381,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
